T,Model,Average ⬆️,ARC,HellaSwag,MMLU,TruthfulQA,Winogrande,GSM8K,DROP,Type,Architecture,Precision,Hub License,#Params (B),Hub ❤️,Available on the hub,Model sha,model_name_for_query
🔶,"<a target=""_blank"" href=""https://huggingface.co/TheTravellingEngineer/llama2-7b-chat-hf-v2"" style=""color: var(--link-text-color); text-decoration: underline;text-decoration-style: dotted;"">TheTravellingEngineer/llama2-7b-chat-hf-v2</a>  <a target=""_blank"" href=""https://huggingface.co/datasets/open-llm-leaderboard/details_TheTravellingEngineer__llama2-7b-chat-hf-v2"" style=""color: var(--link-text-color); text-decoration: underline;text-decoration-style: dotted;"">📑</a>",43.42,53.07,78.57,46.8,38.75,74.03,7.13,5.59,fine-tuned,LlamaForCausalLM,torch.float16,?,6.74,0.0,True,1c97650d4b919e2c6a2829778caa3a109935a58c,TheTravellingEngineer/llama2-7b-chat-hf-v2
🔶,"<a target=""_blank"" href=""https://huggingface.co/TheTravellingEngineer/llama2-7b-chat-hf-v4"" style=""color: var(--link-text-color); text-decoration: underline;text-decoration-style: dotted;"">TheTravellingEngineer/llama2-7b-chat-hf-v4</a>  <a target=""_blank"" href=""https://huggingface.co/datasets/open-llm-leaderboard/details_TheTravellingEngineer__llama2-7b-chat-hf-v4"" style=""color: var(--link-text-color); text-decoration: underline;text-decoration-style: dotted;"">📑</a>",43.42,53.07,78.57,46.8,38.75,74.03,7.13,5.59,fine-tuned,LlamaForCausalLM,torch.float16,?,6.74,0.0,True,405c54ec7aea0735996ef5ff6ede6c35ab930381,TheTravellingEngineer/llama2-7b-chat-hf-v4
🔶,"<a target=""_blank"" href=""https://huggingface.co/ToolBench/ToolLLaMA-7b-LoRA"" style=""color: var(--link-text-color); text-decoration: underline;text-decoration-style: dotted;"">ToolBench/ToolLLaMA-7b-LoRA</a>  <a target=""_blank"" href=""https://huggingface.co/datasets/open-llm-leaderboard/details_ToolBench__ToolLLaMA-7b-LoRA"" style=""color: var(--link-text-color); text-decoration: underline;text-decoration-style: dotted;"">📑</a>",43.42,52.99,78.62,46.87,38.67,74.35,6.82,5.61,fine-tuned,?,torch.float16,apache-2.0,7.0,7.0,False,67f2e8af850049a86fb9ee8ef581deb0f51e58e6,ToolBench/ToolLLaMA-7b-LoRA
🔶,"<a target=""_blank"" href=""https://huggingface.co/NurtureAI/Orca-2-13B-16k"" style=""color: var(--link-text-color); text-decoration: underline;text-decoration-style: dotted;"">NurtureAI/Orca-2-13B-16k</a>  <a target=""_blank"" href=""https://huggingface.co/datasets/open-llm-leaderboard/details_NurtureAI__Orca-2-13B-16k"" style=""color: var(--link-text-color); text-decoration: underline;text-decoration-style: dotted;"">📑</a>",43.41,53.67,69.48,41.02,45.3,60.06,1.82,32.53,fine-tuned,LlamaForCausalLM,torch.float16,other,13.02,3.0,True,0daee08a5e065d02726e9ae0f05cdfd78992cfba,NurtureAI/Orca-2-13B-16k
🔶,"<a target=""_blank"" href=""https://huggingface.co/clibrain/Llama-2-7b-ft-instruct-es"" style=""color: var(--link-text-color); text-decoration: underline;text-decoration-style: dotted;"">clibrain/Llama-2-7b-ft-instruct-es</a>  <a target=""_blank"" href=""https://huggingface.co/datasets/open-llm-leaderboard/details_clibrain__Llama-2-7b-ft-instruct-es"" style=""color: var(--link-text-color); text-decoration: underline;text-decoration-style: dotted;"">📑</a>",43.4,53.67,77.83,46.58,38.82,75.22,5.69,5.96,fine-tuned,LlamaForCausalLM,torch.float16,apache-2.0,6.61,13.0,True,b62f431c88b232204ea7046f9d906ae1daa68437,clibrain/Llama-2-7b-ft-instruct-es
🔶,"<a target=""_blank"" href=""https://huggingface.co/fireballoon/baichuan-vicuna-chinese-7b"" style=""color: var(--link-text-color); text-decoration: underline;text-decoration-style: dotted;"">fireballoon/baichuan-vicuna-chinese-7b</a>  <a target=""_blank"" href=""https://huggingface.co/datasets/open-llm-leaderboard/details_fireballoon__baichuan-vicuna-chinese-7b"" style=""color: var(--link-text-color); text-decoration: underline;text-decoration-style: dotted;"">📑</a>",43.39,43.52,71.12,46.87,42.45,66.85,5.53,27.4,fine-tuned,LlamaForCausalLM,torch.float16,?,6.74,61.0,True,6cdb9e75cd473e31e87067c2a0b646083247d9ab,fireballoon/baichuan-vicuna-chinese-7b
🔶,"<a target=""_blank"" href=""https://huggingface.co/JosephusCheung/Qwen-VL-LLaMAfied-7B-Chat"" style=""color: var(--link-text-color); text-decoration: underline;text-decoration-style: dotted;"">JosephusCheung/Qwen-VL-LLaMAfied-7B-Chat</a>  <a target=""_blank"" href=""https://huggingface.co/datasets/open-llm-leaderboard/details_JosephusCheung__Qwen-VL-LLaMAfied-7B-Chat"" style=""color: var(--link-text-color); text-decoration: underline;text-decoration-style: dotted;"">📑</a>",43.39,47.35,69.97,44.12,42.87,65.67,0.0,33.74,fine-tuned,LlamaForCausalLM,torch.bfloat16,?,7.0,0.0,True,ccbd599ac46bcfbf7020be393afeecef404bce2b,JosephusCheung/Qwen-VL-LLaMAfied-7B-Chat
🔶,"<a target=""_blank"" href=""https://huggingface.co/georgesung/llama2_7b_chat_uncensored"" style=""color: var(--link-text-color); text-decoration: underline;text-decoration-style: dotted;"">georgesung/llama2_7b_chat_uncensored</a>  <a target=""_blank"" href=""https://huggingface.co/datasets/open-llm-leaderboard/details_georgesung__llama2_7b_chat_uncensored"" style=""color: var(--link-text-color); text-decoration: underline;text-decoration-style: dotted;"">📑</a>",43.39,53.58,78.66,44.49,41.34,74.11,5.84,5.69,fine-tuned,LlamaForCausalLM,torch.float16,other,6.61,152.0,True,e9a972b12c6b59bfbcf30fe3779c2c933ce755bd,georgesung/llama2_7b_chat_uncensored
?,"<a target=""_blank"" href=""https://huggingface.co/TehVenom/Pygmalion-Vicuna-1.1-7b"" style=""color: var(--link-text-color); text-decoration: underline;text-decoration-style: dotted;"">TehVenom/Pygmalion-Vicuna-1.1-7b</a>  <a target=""_blank"" href=""https://huggingface.co/datasets/open-llm-leaderboard/details_TehVenom__Pygmalion-Vicuna-1.1-7b"" style=""color: var(--link-text-color); text-decoration: underline;text-decoration-style: dotted;"">📑</a>",43.35,52.82,78.66,43.61,42.21,71.98,6.22,7.97,,LlamaForCausalLM,torch.float16,?,6.74,25.0,True,bdac596568769d1ba4af8df9a611eee9723adf29,TehVenom/Pygmalion-Vicuna-1.1-7b
⭕,"<a target=""_blank"" href=""https://huggingface.co/heegyu/LIMA2-7b-hf"" style=""color: var(--link-text-color); text-decoration: underline;text-decoration-style: dotted;"">heegyu/LIMA2-7b-hf</a>  <a target=""_blank"" href=""https://huggingface.co/datasets/open-llm-leaderboard/details_heegyu__LIMA2-7b-hf"" style=""color: var(--link-text-color); text-decoration: underline;text-decoration-style: dotted;"">📑</a>",43.32,53.24,80.6,43.22,44.74,69.93,3.87,7.63,instruction-tuned,LlamaForCausalLM,torch.float16,?,6.61,1.0,True,6a1aa59cb7624f059728840ce68b20b1070ebdcb,heegyu/LIMA2-7b-hf
🔶,"<a target=""_blank"" href=""https://huggingface.co/dotvignesh/perry-7b"" style=""color: var(--link-text-color); text-decoration: underline;text-decoration-style: dotted;"">dotvignesh/perry-7b</a>  <a target=""_blank"" href=""https://huggingface.co/datasets/open-llm-leaderboard/details_dotvignesh__perry-7b"" style=""color: var(--link-text-color); text-decoration: underline;text-decoration-style: dotted;"">📑</a>",43.3,51.79,76.43,46.18,40.08,72.53,10.31,5.79,fine-tuned,LlamaForCausalLM,torch.float16,?,6.61,0.0,True,f35ae37b436637cd3e14d086324ccdaccfd69045,dotvignesh/perry-7b
?,"<a target=""_blank"" href=""https://huggingface.co/quantumaikr/QuantumLM-7B"" style=""color: var(--link-text-color); text-decoration: underline;text-decoration-style: dotted;"">quantumaikr/QuantumLM-7B</a>  <a target=""_blank"" href=""https://huggingface.co/datasets/open-llm-leaderboard/details_quantumaikr__QuantumLM-7B"" style=""color: var(--link-text-color); text-decoration: underline;text-decoration-style: dotted;"">📑</a>",43.29,50.26,76.1,45.27,46.25,71.51,7.66,5.99,,LlamaForCausalLM,torch.float16,cc-by-nc-4.0,6.61,1.0,True,f44998432fb90d88094ddf42e57ec458877a197f,quantumaikr/QuantumLM-7B
🔶,"<a target=""_blank"" href=""https://huggingface.co/rameshm/llama-2-13b-mathgpt-v4"" style=""color: var(--link-text-color); text-decoration: underline;text-decoration-style: dotted;"">rameshm/llama-2-13b-mathgpt-v4</a>  <a target=""_blank"" href=""https://huggingface.co/datasets/open-llm-leaderboard/details_rameshm__llama-2-13b-mathgpt-v4"" style=""color: var(--link-text-color); text-decoration: underline;text-decoration-style: dotted;"">📑</a>",43.26,50.94,75.56,43.78,41.96,69.14,14.71,6.71,fine-tuned,LlamaForCausalLM,torch.float16,?,12.85,0.0,True,c5072a762070c6b3756385c63805348c155004b5,rameshm/llama-2-13b-mathgpt-v4
🔶,"<a target=""_blank"" href=""https://huggingface.co/dhmeltzer/llama-7b-SFT_ds_eli5_1024_r_64_alpha_16_merged"" style=""color: var(--link-text-color); text-decoration: underline;text-decoration-style: dotted;"">dhmeltzer/llama-7b-SFT_ds_eli5_1024_r_64_alpha_16_merged</a>  <a target=""_blank"" href=""https://huggingface.co/datasets/open-llm-leaderboard/details_dhmeltzer__llama-7b-SFT_ds_eli5_1024_r_64_alpha_16_merged"" style=""color: var(--link-text-color); text-decoration: underline;text-decoration-style: dotted;"">📑</a>",43.25,53.41,77.9,43.56,40.81,74.59,5.08,7.37,fine-tuned,LlamaForCausalLM,torch.bfloat16,?,6.74,0.0,True,6ca41503b383c654aee8d5496e70fbdfaa33db10,dhmeltzer/llama-7b-SFT_ds_eli5_1024_r_64_alpha_16_merged
🔶,"<a target=""_blank"" href=""https://huggingface.co/qualis2006/llama-2-7b-int4-python-code-18k"" style=""color: var(--link-text-color); text-decoration: underline;text-decoration-style: dotted;"">qualis2006/llama-2-7b-int4-python-code-18k</a>  <a target=""_blank"" href=""https://huggingface.co/datasets/open-llm-leaderboard/details_qualis2006__llama-2-7b-int4-python-code-18k"" style=""color: var(--link-text-color); text-decoration: underline;text-decoration-style: dotted;"">📑</a>",43.22,52.13,78.55,46.25,37.69,74.98,6.22,6.69,fine-tuned,LlamaForCausalLM,torch.float16,?,6.61,0.0,True,aed968a4b3f3b716064eb8b50c5ae24b38007627,qualis2006/llama-2-7b-int4-python-code-18k
⭕,"<a target=""_blank"" href=""https://huggingface.co/LeoLM/leo-hessianai-7b-chat"" style=""color: var(--link-text-color); text-decoration: underline;text-decoration-style: dotted;"">LeoLM/leo-hessianai-7b-chat</a>  <a target=""_blank"" href=""https://huggingface.co/datasets/open-llm-leaderboard/details_LeoLM__leo-hessianai-7b-chat"" style=""color: var(--link-text-color); text-decoration: underline;text-decoration-style: dotted;"">📑</a>",43.18,52.56,77.61,45.58,44.89,69.93,5.16,6.53,instruction-tuned,LlamaForCausalLM,torch.float16,?,6.61,8.0,True,7c343a501f5cd3b768d2f78d9941b760fd66815d,LeoLM/leo-hessianai-7b-chat
🔶,"<a target=""_blank"" href=""https://huggingface.co/luffycodes/llama-shishya-7b-ep3-v2"" style=""color: var(--link-text-color); text-decoration: underline;text-decoration-style: dotted;"">luffycodes/llama-shishya-7b-ep3-v2</a>  <a target=""_blank"" href=""https://huggingface.co/datasets/open-llm-leaderboard/details_luffycodes__llama-shishya-7b-ep3-v2"" style=""color: var(--link-text-color); text-decoration: underline;text-decoration-style: dotted;"">📑</a>",43.17,47.35,75.88,43.84,30.16,68.75,0.0,36.21,fine-tuned,LlamaForCausalLM,torch.bfloat16,?,6.61,0.0,True,679c6cb9e869df686b1ae415ed440e6cfc05f80b,luffycodes/llama-shishya-7b-ep3-v2
?,"<a target=""_blank"" href=""https://huggingface.co/openchat/opencoderplus"" style=""color: var(--link-text-color); text-decoration: underline;text-decoration-style: dotted;"">openchat/opencoderplus</a>  <a target=""_blank"" href=""https://huggingface.co/datasets/open-llm-leaderboard/details_openchat__opencoderplus"" style=""color: var(--link-text-color); text-decoration: underline;text-decoration-style: dotted;"">📑</a>",43.17,50.6,78.22,42.73,50.72,66.14,4.62,9.14,,GPTBigCodeForCausalLM,torch.float16,?,15.52,100.0,True,845e9e4452dd4440760b3d5f680400fc014e91b5,openchat/opencoderplus
🔶,"<a target=""_blank"" href=""https://huggingface.co/PocketDoc/Dans-RetroRodeo-13b"" style=""color: var(--link-text-color); text-decoration: underline;text-decoration-style: dotted;"">PocketDoc/Dans-RetroRodeo-13b</a>  <a target=""_blank"" href=""https://huggingface.co/datasets/open-llm-leaderboard/details_PocketDoc__Dans-RetroRodeo-13b"" style=""color: var(--link-text-color); text-decoration: underline;text-decoration-style: dotted;"">📑</a>",43.15,53.84,79.63,48.93,38.73,73.8,0.0,7.1,fine-tuned,LlamaForCausalLM,torch.float16,?,13.02,2.0,True,102f9fdad903f5eaffe1ed8173ae56081072e429,PocketDoc/Dans-RetroRodeo-13b
⭕,"<a target=""_blank"" href=""https://huggingface.co/uukuguy/speechless-codellama-orca-13b"" style=""color: var(--link-text-color); text-decoration: underline;text-decoration-style: dotted;"">uukuguy/speechless-codellama-orca-13b</a>  <a target=""_blank"" href=""https://huggingface.co/datasets/open-llm-leaderboard/details_uukuguy__speechless-codellama-orca-13b"" style=""color: var(--link-text-color); text-decoration: underline;text-decoration-style: dotted;"">📑</a>",43.14,44.37,65.2,43.46,45.94,64.01,5.99,33.06,instruction-tuned,LlamaForCausalLM,torch.float16,llama2,12.85,2.0,True,6fdfeabe817235df3d560a6e6465c3722bc3a4ba,uukuguy/speechless-codellama-orca-13b
🔶,"<a target=""_blank"" href=""https://huggingface.co/Fredithefish/Guanaco-7B-Uncensored"" style=""color: var(--link-text-color); text-decoration: underline;text-decoration-style: dotted;"">Fredithefish/Guanaco-7B-Uncensored</a>  <a target=""_blank"" href=""https://huggingface.co/datasets/open-llm-leaderboard/details_Fredithefish__Guanaco-7B-Uncensored"" style=""color: var(--link-text-color); text-decoration: underline;text-decoration-style: dotted;"">📑</a>",43.13,52.13,78.77,43.42,44.45,73.09,4.25,5.82,fine-tuned,LlamaForCausalLM,torch.float16,apache-2.0,6.61,4.0,True,db068e363e66e5d4b131e1d7a42a3a849e406a9b,Fredithefish/Guanaco-7B-Uncensored
🔶,"<a target=""_blank"" href=""https://huggingface.co/lmsys/longchat-7b-v1.5-32k"" style=""color: var(--link-text-color); text-decoration: underline;text-decoration-style: dotted;"">lmsys/longchat-7b-v1.5-32k</a>  <a target=""_blank"" href=""https://huggingface.co/datasets/open-llm-leaderboard/details_lmsys__longchat-7b-v1.5-32k"" style=""color: var(--link-text-color); text-decoration: underline;text-decoration-style: dotted;"">📑</a>",43.06,51.71,74.97,43.16,44.42,68.67,4.78,13.73,fine-tuned,LlamaForCausalLM,torch.float16,?,6.61,44.0,True,16deb633ef4d6a18d5750239edc5a85ffeaf3918,lmsys/longchat-7b-v1.5-32k
🔶,"<a target=""_blank"" href=""https://huggingface.co/FelixChao/vicuna-7B-physics"" style=""color: var(--link-text-color); text-decoration: underline;text-decoration-style: dotted;"">FelixChao/vicuna-7B-physics</a>  <a target=""_blank"" href=""https://huggingface.co/datasets/open-llm-leaderboard/details_FelixChao__vicuna-7B-physics"" style=""color: var(--link-text-color); text-decoration: underline;text-decoration-style: dotted;"">📑</a>",43.05,49.49,75.88,46.58,49.31,69.38,4.25,6.49,fine-tuned,LlamaForCausalLM,torch.bfloat16,?,6.61,0.0,True,2147983e9493347c3424c07403f65e7a81c0b19f,FelixChao/vicuna-7B-physics
⭕,"<a target=""_blank"" href=""https://huggingface.co/venkycs/llama-v2-7b-32kC-Security"" style=""color: var(--link-text-color); text-decoration: underline;text-decoration-style: dotted;"">venkycs/llama-v2-7b-32kC-Security</a>  <a target=""_blank"" href=""https://huggingface.co/datasets/open-llm-leaderboard/details_venkycs__llama-v2-7b-32kC-Security"" style=""color: var(--link-text-color); text-decoration: underline;text-decoration-style: dotted;"">📑</a>",42.99,49.83,77.33,44.41,47.96,71.74,3.87,5.81,instruction-tuned,?,torch.float16,apache-2.0,6.61,5.0,False,0ae2abdc539a79ad84b141f894d614adf3754882,venkycs/llama-v2-7b-32kC-Security
🔶,"<a target=""_blank"" href=""https://huggingface.co/elyza/ELYZA-japanese-Llama-2-7b-fast-instruct"" style=""color: var(--link-text-color); text-decoration: underline;text-decoration-style: dotted;"">elyza/ELYZA-japanese-Llama-2-7b-fast-instruct</a>  <a target=""_blank"" href=""https://huggingface.co/datasets/open-llm-leaderboard/details_elyza__ELYZA-japanese-Llama-2-7b-fast-instruct"" style=""color: var(--link-text-color); text-decoration: underline;text-decoration-style: dotted;"">📑</a>",42.96,53.75,77.55,46.85,38.84,71.59,6.29,5.84,fine-tuned,LlamaForCausalLM,torch.float16,llama2,6.66,42.0,True,89de33d1ad568855853196802aeaecd799c6586f,elyza/ELYZA-japanese-Llama-2-7b-fast-instruct
🔶,"<a target=""_blank"" href=""https://huggingface.co/GeneZC/MiniChat-3B"" style=""color: var(--link-text-color); text-decoration: underline;text-decoration-style: dotted;"">GeneZC/MiniChat-3B</a>  <a target=""_blank"" href=""https://huggingface.co/datasets/open-llm-leaderboard/details_GeneZC__MiniChat-3B"" style=""color: var(--link-text-color); text-decoration: underline;text-decoration-style: dotted;"">📑</a>",42.94,44.03,67.19,39.17,45.67,65.27,10.54,28.73,fine-tuned,LlamaForCausalLM,torch.float16,apache-2.0,3.0,3.0,True,123d23bd291bb2d5fdb3b91dc1570d0b11654a78,GeneZC/MiniChat-3B
🔶,"<a target=""_blank"" href=""https://huggingface.co/jondurbin/airoboros-7b-gpt4-1.4"" style=""color: var(--link-text-color); text-decoration: underline;text-decoration-style: dotted;"">jondurbin/airoboros-7b-gpt4-1.4</a>  <a target=""_blank"" href=""https://huggingface.co/datasets/open-llm-leaderboard/details_jondurbin__airoboros-7b-gpt4-1.4"" style=""color: var(--link-text-color); text-decoration: underline;text-decoration-style: dotted;"">📑</a>",42.94,53.92,80.33,38.61,41.05,72.77,3.71,10.16,fine-tuned,LlamaForCausalLM,torch.float16,cc-by-nc-4.0,6.61,8.0,True,cae1ab8991f66bbe66ae95ed23a87846e7343047,jondurbin/airoboros-7b-gpt4-1.4
⭕,"<a target=""_blank"" href=""https://huggingface.co/llm-agents/tora-7b-v1.0"" style=""color: var(--link-text-color); text-decoration: underline;text-decoration-style: dotted;"">llm-agents/tora-7b-v1.0</a>  <a target=""_blank"" href=""https://huggingface.co/datasets/open-llm-leaderboard/details_llm-agents__tora-7b-v1.0"" style=""color: var(--link-text-color); text-decoration: underline;text-decoration-style: dotted;"">📑</a>",42.89,52.47,78.68,45.9,37.9,73.56,2.5,9.24,instruction-tuned,LlamaForCausalLM,torch.float16,llama2,6.61,2.0,True,717edbee98945192b1a396fc9c337c5b32d6c79c,llm-agents/tora-7b-v1.0
🔶,"<a target=""_blank"" href=""https://huggingface.co/vibhorag101/llama-2-7b-chat-hf-phr_mental_health-2048"" style=""color: var(--link-text-color); text-decoration: underline;text-decoration-style: dotted;"">vibhorag101/llama-2-7b-chat-hf-phr_mental_health-2048</a>  <a target=""_blank"" href=""https://huggingface.co/datasets/open-llm-leaderboard/details_vibhorag101__llama-2-7b-chat-hf-phr_mental_health-2048"" style=""color: var(--link-text-color); text-decoration: underline;text-decoration-style: dotted;"">📑</a>",42.84,52.39,75.39,39.77,42.89,71.19,5.91,12.3,fine-tuned,LlamaForCausalLM,4bit,?,6.61,0.0,True,81d424a431ab7fa4ff725925b6d0e4269d4563e4,vibhorag101/llama-2-7b-chat-hf-phr_mental_health-2048
🔶,"<a target=""_blank"" href=""https://huggingface.co/hiyouga/Baichuan2-7B-Base-LLaMAfied"" style=""color: var(--link-text-color); text-decoration: underline;text-decoration-style: dotted;"">hiyouga/Baichuan2-7B-Base-LLaMAfied</a>  <a target=""_blank"" href=""https://huggingface.co/datasets/open-llm-leaderboard/details_hiyouga__Baichuan2-7B-Base-LLaMAfied"" style=""color: var(--link-text-color); text-decoration: underline;text-decoration-style: dotted;"">📑</a>",42.83,49.57,73.45,54.86,37.54,70.72,7.81,5.85,fine-tuned,LlamaForCausalLM,torch.float16,other,6.99,4.0,True,dc5bda435771212fc73a8c6556fbdf4fcd87f96d,hiyouga/Baichuan2-7B-Base-LLaMAfied
🔶,"<a target=""_blank"" href=""https://huggingface.co/itsliupeng/llama2_7b_code"" style=""color: var(--link-text-color); text-decoration: underline;text-decoration-style: dotted;"">itsliupeng/llama2_7b_code</a>  <a target=""_blank"" href=""https://huggingface.co/datasets/open-llm-leaderboard/details_itsliupeng__llama2_7b_code"" style=""color: var(--link-text-color); text-decoration: underline;text-decoration-style: dotted;"">📑</a>",42.81,52.13,75.71,48.05,38.76,71.51,8.11,5.39,fine-tuned,LlamaForCausalLM,torch.bfloat16,?,6.61,1.0,True,0e6d1edd87c8753b55d280179c8fb0e65ebf5fa2,itsliupeng/llama2_7b_code
🔶,"<a target=""_blank"" href=""https://huggingface.co/notstoic/PygmalionCoT-7b"" style=""color: var(--link-text-color); text-decoration: underline;text-decoration-style: dotted;"">notstoic/PygmalionCoT-7b</a>  <a target=""_blank"" href=""https://huggingface.co/datasets/open-llm-leaderboard/details_notstoic__PygmalionCoT-7b"" style=""color: var(--link-text-color); text-decoration: underline;text-decoration-style: dotted;"">📑</a>",42.79,51.45,76.92,33.35,48.13,68.9,3.26,17.51,fine-tuned,LlamaForCausalLM,torch.float16,other,6.74,15.0,True,c03ac527360663d17bb142405251028eec843ed9,notstoic/PygmalionCoT-7b
🔶,"<a target=""_blank"" href=""https://huggingface.co/speechlessai/speechless-coding-7b-16k-tora"" style=""color: var(--link-text-color); text-decoration: underline;text-decoration-style: dotted;"">speechlessai/speechless-coding-7b-16k-tora</a>  <a target=""_blank"" href=""https://huggingface.co/datasets/open-llm-leaderboard/details_speechlessai__speechless-coding-7b-16k-tora"" style=""color: var(--link-text-color); text-decoration: underline;text-decoration-style: dotted;"">📑</a>",42.76,41.13,64.48,38.86,44.95,63.85,17.06,28.96,fine-tuned,LlamaForCausalLM,torch.bfloat16,llama2,7.0,0.0,True,37281f20d54d895f8e3bc660e68564244c775ac2,speechlessai/speechless-coding-7b-16k-tora
🔶,"<a target=""_blank"" href=""https://huggingface.co/GOAT-AI/GOAT-7B-Community"" style=""color: var(--link-text-color); text-decoration: underline;text-decoration-style: dotted;"">GOAT-AI/GOAT-7B-Community</a>  <a target=""_blank"" href=""https://huggingface.co/datasets/open-llm-leaderboard/details_GOAT-AI__GOAT-7B-Community"" style=""color: var(--link-text-color); text-decoration: underline;text-decoration-style: dotted;"">📑</a>",42.74,48.81,74.63,49.58,42.48,72.3,4.47,6.91,fine-tuned,LlamaForCausalLM,torch.bfloat16,llama2,6.61,34.0,True,a7073a0f5142ce04aaa1603b0812b358f62a8de8,GOAT-AI/GOAT-7B-Community
⭕,"<a target=""_blank"" href=""https://huggingface.co/dhmeltzer/llama-7b-SFT_ds_wiki65k_1024_r_64_alpha_16_merged"" style=""color: var(--link-text-color); text-decoration: underline;text-decoration-style: dotted;"">dhmeltzer/llama-7b-SFT_ds_wiki65k_1024_r_64_alpha_16_merged</a>  <a target=""_blank"" href=""https://huggingface.co/datasets/open-llm-leaderboard/details_dhmeltzer__llama-7b-SFT_ds_wiki65k_1024_r_64_alpha_16_merged"" style=""color: var(--link-text-color); text-decoration: underline;text-decoration-style: dotted;"">📑</a>",42.74,54.35,78.06,45.35,37.11,73.4,4.62,6.28,instruction-tuned,LlamaForCausalLM,torch.bfloat16,?,6.74,0.0,True,684c4f4612fadae47c2c7db9fe9e9be4aaafc7e2,dhmeltzer/llama-7b-SFT_ds_wiki65k_1024_r_64_alpha_16_merged
?,"<a target=""_blank"" href=""https://huggingface.co/meta-llama/Llama-2-7b-hf"" style=""color: var(--link-text-color); text-decoration: underline;text-decoration-style: dotted;"">meta-llama/Llama-2-7b-hf</a>  <a target=""_blank"" href=""https://huggingface.co/datasets/open-llm-leaderboard/details_meta-llama__Llama-2-7b-hf"" style=""color: var(--link-text-color); text-decoration: underline;text-decoration-style: dotted;"">📑</a>",42.67,53.07,77.74,43.8,38.98,74.59,5.38,5.13,,?,4bit,?,0.0,0.0,False,6fdf2e60f86ff2481f2241aaee459f85b5b0bbb9,meta-llama/Llama-2-7b-hf
🔶,"<a target=""_blank"" href=""https://huggingface.co/TheTravellingEngineer/llama2-7b-chat-hf-v3"" style=""color: var(--link-text-color); text-decoration: underline;text-decoration-style: dotted;"">TheTravellingEngineer/llama2-7b-chat-hf-v3</a>  <a target=""_blank"" href=""https://huggingface.co/datasets/open-llm-leaderboard/details_TheTravellingEngineer__llama2-7b-chat-hf-v3"" style=""color: var(--link-text-color); text-decoration: underline;text-decoration-style: dotted;"">📑</a>",42.65,52.22,76.78,45.89,38.38,73.4,6.22,5.66,fine-tuned,LlamaForCausalLM,torch.float16,?,6.74,0.0,True,a5269bc93a7f98e192e34553cec1302877ca4327,TheTravellingEngineer/llama2-7b-chat-hf-v3
🔶,"<a target=""_blank"" href=""https://huggingface.co/Charlie911/vicuna-7b-v1.5-lora-mctaco-modified1"" style=""color: var(--link-text-color); text-decoration: underline;text-decoration-style: dotted;"">Charlie911/vicuna-7b-v1.5-lora-mctaco-modified1</a>  <a target=""_blank"" href=""https://huggingface.co/datasets/open-llm-leaderboard/details_Charlie911__vicuna-7b-v1.5-lora-mctaco-modified1"" style=""color: var(--link-text-color); text-decoration: underline;text-decoration-style: dotted;"">📑</a>",42.65,40.87,73.4,47.42,39.87,69.46,1.29,26.25,fine-tuned,LlamaForCausalLM,torch.float16,?,6.61,0.0,True,a7749ff092ef03900de34b69d41c767a6a48ea9e,Charlie911/vicuna-7b-v1.5-lora-mctaco-modified1
🔶,"<a target=""_blank"" href=""https://huggingface.co/mosaicml/mpt-7b-instruct"" style=""color: var(--link-text-color); text-decoration: underline;text-decoration-style: dotted;"">mosaicml/mpt-7b-instruct</a>  <a target=""_blank"" href=""https://huggingface.co/datasets/open-llm-leaderboard/details_mosaicml__mpt-7b-instruct"" style=""color: var(--link-text-color); text-decoration: underline;text-decoration-style: dotted;"">📑</a>",42.62,50.34,77.91,32.35,35.08,70.48,2.81,29.4,fine-tuned,MPTForCausalLM,torch.float16,cc-by-sa-3.0,6.65,437.0,True,925e0d80e50e77aaddaf9c3ced41ca4ea23a1025,mosaicml/mpt-7b-instruct
⭕,"<a target=""_blank"" href=""https://huggingface.co/llm-agents/tora-code-34b-v1.0"" style=""color: var(--link-text-color); text-decoration: underline;text-decoration-style: dotted;"">llm-agents/tora-code-34b-v1.0</a>  <a target=""_blank"" href=""https://huggingface.co/datasets/open-llm-leaderboard/details_llm-agents__tora-code-34b-v1.0"" style=""color: var(--link-text-color); text-decoration: underline;text-decoration-style: dotted;"">📑</a>",42.61,50.43,75.54,46.78,39.66,68.19,13.12,4.58,instruction-tuned,LlamaForCausalLM,torch.float16,llama2,33.48,4.0,True,cbb33eea774cc03d4363c424d81e8c9d58332274,llm-agents/tora-code-34b-v1.0
⭕,"<a target=""_blank"" href=""https://huggingface.co/LeoLM/leo-hessianai-7b-chat-bilingual"" style=""color: var(--link-text-color); text-decoration: underline;text-decoration-style: dotted;"">LeoLM/leo-hessianai-7b-chat-bilingual</a>  <a target=""_blank"" href=""https://huggingface.co/datasets/open-llm-leaderboard/details_LeoLM__leo-hessianai-7b-chat-bilingual"" style=""color: var(--link-text-color); text-decoration: underline;text-decoration-style: dotted;"">📑</a>",42.58,51.02,76.03,44.68,47.16,70.72,2.73,5.72,instruction-tuned,LlamaForCausalLM,torch.float16,?,6.61,4.0,True,5ee98fd03b310e3081f0c9986c5153b27ec5dce6,LeoLM/leo-hessianai-7b-chat-bilingual
