T,Model,Average ⬆️,ARC,HellaSwag,MMLU,TruthfulQA,Winogrande,GSM8K,DROP,Type,Architecture,Precision,Hub License,#Params (B),Hub ❤️,Available on the hub,Model sha,model_name_for_query
🔶,"<a target=""_blank"" href=""https://huggingface.co/fangloveskari/Platypus_QLoRA_LLaMA_70b"" style=""color: var(--link-text-color); text-decoration: underline;text-decoration-style: dotted;"">fangloveskari/Platypus_QLoRA_LLaMA_70b</a>  <a target=""_blank"" href=""https://huggingface.co/datasets/open-llm-leaderboard/details_fangloveskari__Platypus_QLoRA_LLaMA_70b"" style=""color: var(--link-text-color); text-decoration: underline;text-decoration-style: dotted;"">📑</a>",65.41,72.1,87.46,71.02,61.18,82.87,30.78,52.45,fine-tuned,LlamaForCausalLM,torch.float16,llama2,68.72,3.0,True,b9b8560832276f60ba6bf37ac913b230a85ac19b,fangloveskari/Platypus_QLoRA_LLaMA_70b
⭕,"<a target=""_blank"" href=""https://huggingface.co/v2ray/LLaMA-2-Wizard-70B-QLoRA"" style=""color: var(--link-text-color); text-decoration: underline;text-decoration-style: dotted;"">v2ray/LLaMA-2-Wizard-70B-QLoRA</a>  <a target=""_blank"" href=""https://huggingface.co/datasets/open-llm-leaderboard/details_v2ray__LLaMA-2-Wizard-70B-QLoRA"" style=""color: var(--link-text-color); text-decoration: underline;text-decoration-style: dotted;"">📑</a>",65.4,67.58,87.52,69.11,61.79,82.32,30.48,59.03,instruction-tuned,?,torch.float16,llama2,70.0,2.0,False,4bff676fe29f56d31961794c062aebc36312446e,v2ray/LLaMA-2-Wizard-70B-QLoRA
🔶,"<a target=""_blank"" href=""https://huggingface.co/psmathur/model_009"" style=""color: var(--link-text-color); text-decoration: underline;text-decoration-style: dotted;"">psmathur/model_009</a>  <a target=""_blank"" href=""https://huggingface.co/datasets/open-llm-leaderboard/details_psmathur__model_009"" style=""color: var(--link-text-color); text-decoration: underline;text-decoration-style: dotted;"">📑</a>",65.03,71.59,87.7,69.43,60.72,82.32,39.42,44.01,fine-tuned,LlamaForCausalLM,torch.float16,llama2,68.72,1.0,True,5020869e6394b1ac039bf80a0a1d2bed6be6707e,psmathur/model_009
⭕,"<a target=""_blank"" href=""https://huggingface.co/jondurbin/airoboros-l2-70b-2.2.1"" style=""color: var(--link-text-color); text-decoration: underline;text-decoration-style: dotted;"">jondurbin/airoboros-l2-70b-2.2.1</a>  <a target=""_blank"" href=""https://huggingface.co/datasets/open-llm-leaderboard/details_jondurbin__airoboros-l2-70b-2.2.1"" style=""color: var(--link-text-color); text-decoration: underline;text-decoration-style: dotted;"">📑</a>",65.01,69.71,87.95,69.79,59.49,82.95,44.88,40.27,instruction-tuned,LlamaForCausalLM,torch.bfloat16,llama2,68.72,6.0,True,eadc78a4a9e173bccdca7dc8d12a34e80317c66c,jondurbin/airoboros-l2-70b-2.2.1
🔶,"<a target=""_blank"" href=""https://huggingface.co/stabilityai/StableBeluga2"" style=""color: var(--link-text-color); text-decoration: underline;text-decoration-style: dotted;"">stabilityai/StableBeluga2</a>  <a target=""_blank"" href=""https://huggingface.co/datasets/open-llm-leaderboard/details_stabilityai__StableBeluga2"" style=""color: var(--link-text-color); text-decoration: underline;text-decoration-style: dotted;"">📑</a>",64.97,71.08,86.37,68.79,59.44,82.95,35.86,50.28,fine-tuned,LlamaForCausalLM,torch.float16,?,68.72,836.0,True,e4944caa6ece819413b140b8dcecea79fe7e22cf,stabilityai/StableBeluga2
🔶,"<a target=""_blank"" href=""https://huggingface.co/psmathur/orca_mini_v3_70b"" style=""color: var(--link-text-color); text-decoration: underline;text-decoration-style: dotted;"">psmathur/orca_mini_v3_70b</a>  <a target=""_blank"" href=""https://huggingface.co/datasets/open-llm-leaderboard/details_psmathur__orca_mini_v3_70b"" style=""color: var(--link-text-color); text-decoration: underline;text-decoration-style: dotted;"">📑</a>",64.9,71.25,87.85,70.18,61.27,82.72,40.86,40.17,fine-tuned,LlamaForCausalLM,torch.float16,other,68.72,16.0,True,c1d4f997f8ed685a6efc72229523b2e56fd0774b,psmathur/orca_mini_v3_70b
🔶,"<a target=""_blank"" href=""https://huggingface.co/psmathur/model_51"" style=""color: var(--link-text-color); text-decoration: underline;text-decoration-style: dotted;"">psmathur/model_51</a>  <a target=""_blank"" href=""https://huggingface.co/datasets/open-llm-leaderboard/details_psmathur__model_51"" style=""color: var(--link-text-color); text-decoration: underline;text-decoration-style: dotted;"">📑</a>",64.88,68.43,86.71,69.31,57.18,81.77,32.37,58.43,fine-tuned,LlamaForCausalLM,torch.float16,llama2,68.72,1.0,True,9542702011bf4d282f4b0f0bd79229f5822b6313,psmathur/model_51
🔶,"<a target=""_blank"" href=""https://huggingface.co/v2ray/LLaMA-2-Jannie-70B-QLoRA"" style=""color: var(--link-text-color); text-decoration: underline;text-decoration-style: dotted;"">v2ray/LLaMA-2-Jannie-70B-QLoRA</a>  <a target=""_blank"" href=""https://huggingface.co/datasets/open-llm-leaderboard/details_v2ray__LLaMA-2-Jannie-70B-QLoRA"" style=""color: var(--link-text-color); text-decoration: underline;text-decoration-style: dotted;"">📑</a>",64.76,68.94,86.9,69.37,53.67,82.95,31.77,59.75,fine-tuned,?,torch.float16,mit,70.0,14.0,False,e552ddca841a2b86e36bbe5f99840afedfdbcd14,v2ray/LLaMA-2-Jannie-70B-QLoRA
🔶,"<a target=""_blank"" href=""https://huggingface.co/fangloveskari/ORCA_LLaMA_70B_QLoRA"" style=""color: var(--link-text-color); text-decoration: underline;text-decoration-style: dotted;"">fangloveskari/ORCA_LLaMA_70B_QLoRA</a>  <a target=""_blank"" href=""https://huggingface.co/datasets/open-llm-leaderboard/details_fangloveskari__ORCA_LLaMA_70B_QLoRA"" style=""color: var(--link-text-color); text-decoration: underline;text-decoration-style: dotted;"">📑</a>",64.67,72.27,87.74,70.23,63.37,83.66,28.35,47.04,fine-tuned,LlamaForCausalLM,torch.float16,llama2,68.72,49.0,True,ef9b04ef02ccc4d96f1181467da92bb6b5baf835,fangloveskari/ORCA_LLaMA_70B_QLoRA
🔶,"<a target=""_blank"" href=""https://huggingface.co/migtissera/Synthia-70B-v1.2b"" style=""color: var(--link-text-color); text-decoration: underline;text-decoration-style: dotted;"">migtissera/Synthia-70B-v1.2b</a>  <a target=""_blank"" href=""https://huggingface.co/datasets/open-llm-leaderboard/details_migtissera__Synthia-70B-v1.2b"" style=""color: var(--link-text-color); text-decoration: underline;text-decoration-style: dotted;"">📑</a>",64.63,68.77,87.57,68.81,57.69,83.9,35.25,50.41,fine-tuned,LlamaForCausalLM,torch.float16,llama2,68.72,17.0,True,7b687d6e4101b8bb8cc4062f8a318d639098a55d,migtissera/Synthia-70B-v1.2b
